old_name,new_name
DYto2E_MLL-200to400_TuneCP5_13p6TeV_powheg-pythia8,DYto2E_Bin-MLL-200to400_TuneCP5_13p6TeV_powheg-pythia8
DYto2E_MLL-400to800_TuneCP5_13p6TeV_powheg-pythia8,DYto2E_Bin-MLL-400to800_TuneCP5_13p6TeV_powheg-pythia8
DYto2E_MLL-800to1500_TuneCP5_13p6TeV_powheg-pythia8,DYto2E_Bin-MLL-800to1500_TuneCP5_13p6TeV_powheg-pythia8
DYto2E_MLL-1500to2500_TuneCP5_13p6TeV_powheg-pythia8,DYto2E_Bin-MLL-1500to2500_TuneCP5_13p6TeV_powheg-pythia8
DYto2E_MLL-2500to4000_TuneCP5_13p6TeV_powheg-pythia8,DYto2E_Bin-MLL-2500to4000_TuneCP5_13p6TeV_powheg-pythia8
DYto2E_MLL-4000to6000_TuneCP5_13p6TeV_powheg-pythia8,DYto2E_Bin-MLL-4000to6000_TuneCP5_13p6TeV_powheg-pythia8
DYto2E_MLL-6000_TuneCP5_13p6TeV_powheg-pythia8,DYto2E_Bin-MLL-6000_TuneCP5_13p6TeV_powheg-pythia8
blank,blank
DYto2Tau_MLL-10to50_TuneCP5_13p6TeV_powheg-pythia8,DYto2Tau_Bin-MLL-10to50_TuneCP5_13p6TeV_powheg-pythia8
DYto2Tau_MLL-50to120_TuneCP5_13p6TeV_powheg-pythia8,DYto2Tau_Bin-MLL-50to120_TuneCP5_13p6TeV_powheg-pythia8
DYto2Tau_MLL-120to200_TuneCP5_13p6TeV_powheg-pythia8,DYto2Tau_Bin-MLL-120to200_TuneCP5_13p6TeV_powheg-pythia8
DYto2Tau_MLL-200to400_TuneCP5_13p6TeV_powheg-pythia8,DYto2Tau_Bin-MLL-200to400_TuneCP5_13p6TeV_powheg-pythia8
DYto2Tau_MLL-400to800_TuneCP5_13p6TeV_powheg-pythia8,DYto2Tau_Bin-MLL-400to800_TuneCP5_13p6TeV_powheg-pythia8
DYto2Tau_MLL-800to1500_TuneCP5_13p6TeV_powheg-pythia8,DYto2Tau_Bin-MLL-800to1500_TuneCP5_13p6TeV_powheg-pythia8
DYto2Tau_MLL-1500to2500_TuneCP5_13p6TeV_powheg-pythia8,DYto2Tau_Bin-MLL-1500to2500_TuneCP5_13p6TeV_powheg-pythia8
DYto2Tau_MLL-2500to4000_TuneCP5_13p6TeV_powheg-pythia8,DYto2Tau_Bin-MLL-2500to4000_TuneCP5_13p6TeV_powheg-pythia8
DYto2Tau_MLL-4000to6000_TuneCP5_13p6TeV_powheg-pythia8,DYto2Tau_Bin-MLL-4000to6000_TuneCP5_13p6TeV_powheg-pythia8
DYto2Tau_MLL-6000_TuneCP5_13p6TeV_powheg-pythia8,DYto2Tau_Bin-MLL-6000_TuneCP5_13p6TeV_powheg-pythia8
blank,blank
DYto2L-4Jets_MLL-4to50_HT-40to70_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-40to70-MLL-4to50_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-4to50_HT-70to100_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-70to100-MLL-4to50_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-4to50_HT-100to400_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-100to400-MLL-4to50_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-4to50_HT-400to800_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-400to800-MLL-4to50_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-4to50_HT-800to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-800to1500-MLL-4to50_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-4to50_HT-1500to2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-1500to2500-MLL-4to50_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-4to50_HT-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-2500-MLL-4to50_TuneCP5_13p6TeV_madgraphMLM-pythia8
blank,blank
DYto2L-4Jets_MLL-50to120_HT-40to70_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-40to70-MLL-50to120_TuneCP5_13p6TeV_madgraphMLM-pythia8
